weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
620,6000,5,331,424,2.48,0.23
640,6000,5,356,458,2.45,1.67
660,6000,5,383,493,2.42,1.06
680,6000,5,411,530,2.4,1.98
700,6000,5,441,571,2.38,0.08
720,6000,5,471,613,2.37,1.89
740,6000,5,504,660,2.36,2.42
760,6000,5,535,711,2.32,0.62
780,6000,5,569,766,2.29,1.1
800,6000,5,604,822,2.27,2.42
600,6000,10,321,412,2.49,0.98
620,6000,10,348,447,2.46,1.09
640,6000,10,375,482,2.42,2.87
660,6000,10,403,519,2.4,2.6
680,6000,10,434,561,2.39,0.41
700,6000,10,465,604,2.38,1.53
720,6000,10,496,649,2.36,1.17
740,6000,10,530,702,2.33,0.91
760,6000,10,563,757,2.3,0.83
780,6000,10,599,814,2.27,0.56
800,6000,10,636,882,2.25,0.81
600,6000,15,338,434,2.47,0.33
620,6000,15,366,471,2.43,2.32
640,6000,15,394,507,2.41,1.24
660,6000,15,424,548,2.39,1.03
680,6000,15,457,593,2.38,1.07
700,6000,15,489,639,2.36,0.3
720,6000,15,522,690,2.34,1.34
740,6000,15,557,746,2.3,0.52
760,6000,15,593,804,2.27,2.2
780,6000,15,631,872,2.25,1.06
800,6000,15,670,943,2.24,0.71
600,6000,20,354,455,2.45,1.53
620,6000,20,384,495,2.42,0.79
640,6000,20,414,533,2.39,1.8
660,6000,20,446,577,2.38,0.38
680,6000,20,480,626,2.37,2.26
700,6000,20,513,675,2.35,1.85
720,6000,20,548,732,2.31,0.06
740,6000,20,584,791,2.28,1.82
760,6000,20,623,857,2.26,1.46
780,6000,20,663,930,2.24,0.4
800,6000,20,704,1003,2.22,1.42
600,6000,25,372,479,2.43,2.72
620,6000,25,404,519,2.4,2.57
640,6000,25,435,562,2.39,0.33
660,6000,25,468,609,2.37,1.74
680,6000,25,504,660,2.36,2.4
700,6000,25,539,717,2.32,0.41
720,6000,25,575,776,2.28,1.4
740,6000,25,614,841,2.26,1.89
760,6000,25,655,916,2.24,0.05
780,6000,25,697,991,2.23,1.81
800,6000,25,739,1008,2.21,2.34
600,6000,30,390,502,2.41,0.47
620,6000,30,423,546,2.39,1.14
640,6000,30,456,591,2.38,1.01
660,6000,30,491,641,2.36,0.04
680,6000,30,528,699,2.33,1.02
700,6000,30,565,759,2.29,0.91
720,6000,30,603,820,2.27,2.34
740,6000,30,644,897,2.25,0.43
760,6000,30,687,974,2.23,1.43
780,6000,30,730,1008,2.21,2.34
800,6000,30,775,1008,2.19,2.32
600,6000,35,410,528,2.4,2.08
620,6000,35,444,575,2.38,0.27
640,6000,35,479,624,2.37,2.33
660,6000,35,515,677,2.34,1.78
680,6000,35,553,740,2.3,0.33
700,6000,35,592,804,2.27,2.19
720,6000,35,632,875,2.25,0.98
740,6000,35,676,955,2.24,0.99
760,6000,35,721,1008,2.21,2.34
780,6000,35,766,1008,2.19,2.33
800,6000,35,814,1008,2.17,1.55
600,6000,40,430,556,2.39,0.65
620,6000,40,466,606,2.37,1.62
640,6000,40,503,658,2.36,2.44
660,6000,40,539,718,2.32,0.39
680,6000,40,580,783,2.28,1.62
700,6000,40,621,854,2.26,1.53
720,6000,40,663,931,2.24,0.42
740,6000,40,709,1008,2.22,2.35
